START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.059,0.10
0.190,0.20
0.321,0.30
0.454,0.40
0.586,0.50
0.718,0.60
0.850,0.70
0.982,0.80
1.114,0.90
1.246,1.00
1.377,1.10
1.507,1.20
1.637,1.30
1.768,1.40
1.900,1.50
2.032,1.60
2.166,1.70
2.300,1.80
2.435,1.90
2.571,2.00
2.706,2.10
2.840,2.20
2.974,2.30
3.109,2.40
3.243,2.50
3.378,2.60
3.514,2.70
3.650,2.80
3.786,2.90
3.922,3.00
4.057,3.10
4.191,3.20
4.324,3.30
4.457,3.40
4.590,3.50
4.724,3.60
4.857,3.70
4.990,3.80
5.124,3.90
5.257,4.00
5.390,4.10
5.521,4.20
5.651,4.30
5.783,4.40
5.914,4.50
6.045,4.60
6.178,4.70
6.309,4.80
6.442,4.90
6.575,5.00
6.708,5.10
6.839,5.20
6.970,5.30
7.102,5.40
7.234,5.50
7.367,5.60
7.500,5.70
7.633,5.80
7.766,5.90
7.899,6.00
8.030,6.10
8.160,6.20
8.289,6.30
8.420,6.40
8.550,6.50
8.681,6.60
8.812,6.70
8.942,6.80
9.072,6.90
9.203,7.00
9.332,7.10
9.460,7.20
9.588,7.30
9.716,7.40
9.844,7.50
9.971,7.60
10.099,7.70
10.226,7.80
10.354,7.90
10.482,8.00
10.609,8.10
10.735,8.20
10.860,8.30
10.986,8.40
11.112,8.50
11.239,8.60
11.366,8.70
11.493,8.80
11.622,8.90
11.750,9.00
11.879,9.10
12.006,9.20
12.134,9.30
12.263,9.40
12.392,9.50
12.521,9.60
12.652,9.70
12.782,9.80
12.914,9.90
13.046,10.00
13.177,10.10
13.307,10.20
13.436,10.30
13.567,10.40
13.697,10.50
13.828,10.60
13.960,10.70
14.091,10.80
14.223,10.90
14.356,11.00
14.489,11.10
14.620,11.20
14.750,11.30
14.881,11.40
15.012,11.50
15.143,11.60
15.276,11.70
15.408,11.80
15.541,11.90
15.675,12.00
15.808,12.10
15.939,12.20
16.069,12.30
16.202,12.40
16.334,12.50
16.466,12.60
16.600,12.70
16.734,12.80
16.869,12.90
17.006,13.00
17.143,13.10
17.279,13.20
17.415,13.30
17.555,13.40
17.695,13.50
17.835,13.60
17.976,13.70
18.116,13.80
18.257,13.90
18.398,14.00
18.537,14.10
18.675,14.20
18.811,14.30
18.948,14.40
19.085,14.50
19.222,14.60
19.360,14.70
19.496,14.80
19.633,14.90
19.770,15.00
19.906,15.10
20.041,15.20
20.175,15.30
20.310,15.40
20.444,15.50
20.579,15.60
20.714,15.70
20.849,15.80
20.984,15.90
21.120,16.00
21.255,16.10
21.388,16.20
