START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.101,0.10
0.227,0.20
0.354,0.30
0.480,0.40
0.605,0.50
0.729,0.60
0.853,0.70
0.978,0.80
1.103,0.90
1.227,1.00
1.352,1.10
1.476,1.20
1.602,1.30
1.726,1.40
1.849,1.50
1.972,1.60
2.095,1.70
2.217,1.80
2.341,1.90
2.464,2.00
2.587,2.10
2.710,2.20
2.834,2.30
2.957,2.40
3.078,2.50
3.200,2.60
3.321,2.70
3.443,2.80
3.564,2.90
3.686,3.00
3.808,3.10
3.929,3.20
4.052,3.30
4.173,3.40
4.293,3.50
4.414,3.60
4.533,3.70
4.653,3.80
4.773,3.90
4.894,4.00
5.014,4.10
5.135,4.20
5.256,4.30
5.376,4.40
5.495,4.50
5.615,4.60
5.733,4.70
5.852,4.80
5.972,4.90
6.091,5.00
6.212,5.10
6.333,5.20
6.456,5.30
6.578,5.40
6.700,5.50
6.821,5.60
6.943,5.70
7.065,5.80
7.187,5.90
7.309,6.00
7.432,6.10
7.556,6.20
7.681,6.30
7.806,6.40
7.930,6.50
8.054,6.60
8.178,6.70
8.302,6.80
8.426,6.90
8.551,7.00
8.675,7.10
8.800,7.20
8.925,7.30
9.050,7.40
9.173,7.50
9.297,7.60
9.420,7.70
9.543,7.80
9.666,7.90
9.790,8.00
9.913,8.10
10.037,8.20
10.162,8.30
10.285,8.40
10.408,8.50
10.531,8.60
10.654,8.70
10.777,8.80
10.901,8.90
11.026,9.00
11.151,9.10
11.277,9.20
11.405,9.30
11.532,9.40
11.658,9.50
11.785,9.60
11.911,9.70
12.038,9.80
12.164,9.90
12.292,10.00
12.419,10.10
12.546,10.20
12.675,10.30
12.803,10.40
12.929,10.50
13.056,10.60
13.182,10.70
13.308,10.80
13.435,10.90
13.562,11.00
13.689,11.10
13.816,11.20
13.944,11.30
14.071,11.40
14.197,11.50
14.323,11.60
14.449,11.70
14.574,11.80
14.700,11.90
14.826,12.00
14.952,12.10
15.078,12.20
15.206,12.30
15.331,12.40
15.456,12.50
15.582,12.60
15.706,12.70
15.831,12.80
15.956,12.90
16.081,13.00
16.206,13.10
16.331,13.20
16.458,13.30
16.583,13.40
16.707,13.50
16.831,13.60
16.954,13.70
17.078,13.80
17.202,13.90
17.327,14.00
17.451,14.10
17.575,14.20
17.701,14.30
17.825,14.40
17.948,14.50
18.070,14.60
18.193,14.70
18.315,14.80
18.438,14.90
18.561,15.00
18.684,15.10
18.808,15.20
18.933,15.30
19.058,15.40
19.181,15.50
19.305,15.60
19.428,15.70
19.551,15.80
19.674,15.90
19.798,16.00
19.922,16.10
20.045,16.20
20.170,16.30
20.294,16.40
20.416,16.50
20.539,16.60
20.661,16.70
20.784,16.80
20.907,16.90
21.030,17.00
21.152,17.10
21.275,17.20
21.399,17.30
21.522,17.40
21.643,17.50
21.765,17.60
21.886,17.70
22.008,17.80
22.130,17.90
22.253,18.00
22.375,18.10
22.498,18.20
22.622,18.30
22.745,18.40
22.866,18.50
22.988,18.60
23.110,18.70
23.232,18.80
23.354,18.90
23.477,19.00
23.599,19.10
23.722,19.20
23.846,19.30
23.969,19.40
24.091,19.50
24.213,19.60
24.335,19.70
24.457,19.80
24.580,19.90
24.703,20.00
24.825,20.10
24.949,20.20
25.073,20.30
25.197,20.40
25.319,20.50
25.441,20.60
25.562,20.70
25.683,20.80
25.805,20.90
25.927,21.00
26.049,21.10
26.172,21.20
26.296,21.30
26.420,21.40
26.542,21.50
26.664,21.60
26.786,21.70
26.908,21.80
27.031,21.90
27.154,22.00
27.276,22.10
27.399,22.20
27.523,22.30
27.646,22.40
27.767,22.50
27.889,22.60
28.010,22.70
28.132,22.80
28.254,22.90
28.376,23.00
28.497,23.10
28.619,23.20
28.742,23.30
28.863,23.40
28.984,23.50
29.104,23.60
29.224,23.70
29.345,23.80
29.465,23.90
29.586,24.00
29.707,24.10
29.828,24.20
29.950,24.30
30.070,24.40
30.190,24.50
30.310,24.60
30.429,24.70
30.549,24.80
30.669,24.90
30.789,25.00
30.909,25.10
31.029,25.20
31.150,25.30
31.271,25.40
31.390,25.50
31.509,25.60
31.629,25.70
31.748,25.80
31.868,25.90
31.988,26.00
32.107,26.10
32.228,26.20
32.349,26.30
32.469,26.40
32.588,26.50
32.707,26.60
32.825,26.70
32.945,26.80
33.064,26.90
