START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.002,0.10
0.101,0.20
0.201,0.30
0.300,0.40
0.399,0.50
0.498,0.60
0.597,0.70
0.695,0.80
0.793,0.90
0.890,1.00
0.988,1.10
1.087,1.20
1.185,1.30
1.284,1.40
1.382,1.50
1.480,1.60
1.578,1.70
1.676,1.80
1.773,1.90
1.870,2.00
1.968,2.10
2.066,2.20
2.164,2.30
2.262,2.40
2.360,2.50
2.458,2.60
2.556,2.70
2.653,2.80
2.750,2.90
2.846,3.00
2.944,3.10
3.042,3.20
3.139,3.30
3.237,3.40
3.334,3.50
3.431,3.60
3.528,3.70
3.625,3.80
3.720,3.90
3.815,4.00
3.912,4.10
4.009,4.20
4.106,4.30
4.203,4.40
4.299,4.50
4.395,4.60
4.492,4.70
4.588,4.80
4.683,4.90
4.778,5.00
4.874,5.10
4.971,5.20
5.068,5.30
5.165,5.40
5.261,5.50
5.358,5.60
5.454,5.70
5.550,5.80
5.646,5.90
5.740,6.00
5.837,6.10
5.933,6.20
6.030,6.30
6.127,6.40
6.223,6.50
6.319,6.60
6.415,6.70
6.511,6.80
6.606,6.90
6.701,7.00
6.797,7.10
6.893,7.20
6.989,7.30
7.086,7.40
7.182,7.50
7.278,7.60
7.374,7.70
7.470,7.80
7.565,7.90
7.659,8.00
7.755,8.10
7.850,8.20
7.946,8.30
8.042,8.40
8.137,8.50
8.233,8.60
8.328,8.70
8.423,8.80
8.517,8.90
8.611,9.00
8.706,9.10
8.801,9.20
8.897,9.30
8.993,9.40
9.088,9.50
9.183,9.60
9.278,9.70
9.373,9.80
9.467,9.90
9.561,10.00
9.656,10.10
9.751,10.20
9.847,10.30
9.943,10.40
10.038,10.50
10.134,10.60
10.229,10.70
10.324,10.80
10.418,10.90
10.512,11.00
10.607,11.10
10.702,11.20
10.798,11.30
10.894,11.40
10.989,11.50
11.084,11.60
11.179,11.70
11.274,11.80
11.369,11.90
11.462,12.00
11.558,12.10
11.654,12.20
11.750,12.30
11.846,12.40
11.942,12.50
12.038,12.60
12.134,12.70
12.230,12.80
12.325,12.90
