START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.059,0.10
0.244,0.20
0.428,0.30
0.608,0.40
0.785,0.50
0.960,0.60
1.136,0.70
1.309,0.80
1.482,0.90
1.654,1.00
1.826,1.10
2.000,1.20
2.172,1.30
2.346,1.40
2.516,1.50
2.686,1.60
2.857,1.70
3.028,1.80
3.201,1.90
3.375,2.00
3.550,2.10
3.726,2.20
3.899,2.30
4.069,2.40
4.235,2.50
4.399,2.60
4.563,2.70
4.726,2.80
4.889,2.90
5.052,3.00
5.216,3.10
5.380,3.20
5.544,3.30
5.708,3.40
5.872,3.50
6.036,3.60
6.202,3.70
6.366,3.80
6.531,3.90
6.695,4.00
6.860,4.10
7.027,4.20
7.191,4.30
7.352,4.40
7.510,4.50
7.667,4.60
7.824,4.70
7.981,4.80
8.140,4.90
8.300,5.00
8.462,5.10
8.624,5.20
8.785,5.30
8.943,5.40
9.099,5.50
9.253,5.60
9.408,5.70
9.561,5.80
9.716,5.90
9.870,6.00
10.024,6.10
10.179,6.20
10.332,6.30
10.483,6.40
10.631,6.50
10.778,6.60
10.926,6.70
11.073,6.80
11.221,6.90
11.370,7.00
11.519,7.10
11.668,7.20
11.816,7.30
11.963,7.40
12.108,7.50
12.253,7.60
12.399,7.70
12.545,7.80
12.693,7.90
12.842,8.00
12.992,8.10
13.143,8.20
13.293,8.30
13.442,8.40
13.588,8.50
13.733,8.60
13.878,8.70
14.023,8.80
14.169,8.90
14.315,9.00
14.463,9.10
14.611,9.20
14.758,9.30
14.903,9.40
15.047,9.50
15.191,9.60
15.336,9.70
15.481,9.80
15.628,9.90
15.775,10.00
15.923,10.10
16.071,10.20
16.215,10.30
16.358,10.40
16.500,10.50
16.643,10.60
16.787,10.70
16.930,10.80
17.076,10.90
17.223,11.00
17.372,11.10
17.522,11.20
17.671,11.30
17.818,11.40
17.964,11.50
18.108,11.60
18.255,11.70
18.401,11.80
18.549,11.90
18.698,12.00
18.848,12.10
18.998,12.20
19.147,12.30
19.293,12.40
19.437,12.50
19.580,12.60
19.724,12.70
19.868,12.80
20.013,12.90
20.158,13.00
20.305,13.10
20.452,13.20
20.599,13.30
20.743,13.40
20.885,13.50
21.027,13.60
21.170,13.70
21.312,13.80
21.456,13.90
21.600,14.00
21.745,14.10
21.892,14.20
22.038,14.30
22.184,14.40
22.329,14.50
22.473,14.60
22.618,14.70
22.763,14.80
22.910,14.90
23.058,15.00
23.208,15.10
23.358,15.20
23.507,15.30
23.654,15.40
23.798,15.50
23.942,15.60
24.088,15.70
24.233,15.80
24.380,15.90
24.527,16.00
24.676,16.10
24.825,16.20
24.970,16.30
25.113,16.40
25.255,16.50
25.397,16.60
25.540,16.70
25.682,16.80
25.824,16.90
25.967,17.00
26.111,17.10
26.255,17.20
26.398,17.30
26.539,17.40
26.679,17.50
26.818,17.60
26.959,17.70
27.101,17.80
27.244,17.90
27.387,18.00
27.532,18.10
27.676,18.20
27.818,18.30
27.957,18.40
28.095,18.50
28.233,18.60
28.372,18.70
28.511,18.80
28.652,18.90
28.794,19.00
28.937,19.10
29.081,19.20
29.224,19.30
29.365,19.40
29.505,19.50
29.644,19.60
29.784,19.70
29.924,19.80
30.066,19.90
30.209,20.00
30.353,20.10
30.499,20.20
30.644,20.30
30.789,20.40
30.933,20.50
31.077,20.60
31.221,20.70
31.366,20.80
31.511,20.90
31.658,21.00
31.805,21.10
31.953,21.20
32.100,21.30
32.246,21.40
32.389,21.50
32.532,21.60
32.676,21.70
32.819,21.80
32.964,21.90
33.110,22.00
33.256,22.10
33.404,22.20
33.552,22.30
33.699,22.40
33.847,22.50
33.994,22.60
34.141,22.70
34.286,22.80
34.432,22.90
34.579,23.00
34.727,23.10
34.877,23.20
35.027,23.30
35.174,23.40
35.320,23.50
35.464,23.60
35.610,23.70
35.754,23.80
35.900,23.90
36.048,24.00
36.196,24.10
36.345,24.20
36.493,24.30
36.638,24.40
36.783,24.50
36.927,24.60
37.073,24.70
37.219,24.80
37.368,24.90
37.517,25.00
37.667,25.10
37.816,25.20
37.964,25.30
38.109,25.40
38.252,25.50
38.394,25.60
38.538,25.70
38.682,25.80
38.827,25.90
38.974,26.00
39.121,26.10
39.270,26.20
39.417,26.30
39.563,26.40
39.707,26.50
39.850,26.60
39.995,26.70
40.140,26.80
40.288,26.90
40.437,27.00
40.587,27.10
40.739,27.20
40.889,27.30
41.037,27.40
41.183,27.50
41.328,27.60
41.475,27.70
41.620,27.80
41.766,27.90
41.913,28.00
42.060,28.10
42.207,28.20
42.353,28.30
42.497,28.40
42.639,28.50
42.781,28.60
42.924,28.70
43.067,28.80
43.212,28.90
43.358,29.00
43.503,29.10
43.649,29.20
43.792,29.30
43.933,29.40
44.073,29.50
44.213,29.60
44.354,29.70
44.496,29.80
44.639,29.90
44.782,30.00
44.927,30.10
45.072,30.20
45.217,30.30
45.361,30.40
45.503,30.50
45.644,30.60
45.788,30.70
45.931,30.80
46.076,30.90
46.222,31.00
46.368,31.10
46.514,31.20
46.660,31.30
46.804,31.40
46.947,31.50
47.090,31.60
47.234,31.70
47.378,31.80
47.524,31.90
47.670,32.00
47.818,32.10
47.965,32.20
48.113,32.30
48.261,32.40
48.410,32.50
48.559,32.60
48.709,32.70
48.858,32.80
49.010,32.90
49.164,33.00
49.319,33.10
49.475,33.20
49.630,33.30
49.787,33.40
49.946,33.50
50.105,33.60
50.267,33.70
50.429,33.80
50.593,33.90
50.759,34.00
50.928,34.10
51.098,34.20
51.270,34.30
51.443,34.40
51.615,34.50
51.788,34.60
51.961,34.70
52.134,34.80
52.310,34.90
52.489,35.00
52.671,35.10
52.855,35.20
53.041,35.30
53.228,35.40
53.416,35.50
53.603,35.60
53.793,35.70
53.980,35.80
54.167,35.90
54.353,36.00
54.538,36.10
54.723,36.20
54.907,36.30
55.087,36.40
55.263,36.50
55.436,36.60
55.608,36.70
55.778,36.80
55.947,36.90
56.117,37.00
56.287,37.10
56.459,37.20
56.631,37.30
56.803,37.40
56.974,37.50
57.144,37.60
57.315,37.70
57.485,37.80
57.657,37.90
57.830,38.00
58.006,38.10
58.185,38.20
58.362,38.30
58.538,38.40
58.712,38.50
58.885,38.60
59.057,38.70
59.229,38.80
59.400,38.90
59.569,39.00
59.738,39.10
59.906,39.20
60.071,39.30
60.233,39.40
60.391,39.50
60.548,39.60
60.705,39.70
60.863,39.80
61.022,39.90
61.182,40.00
61.343,40.10
61.504,40.20
61.664,40.30
61.820,40.40
61.974,40.50
62.126,40.60
62.279,40.70
62.432,40.80
62.586,40.90
62.741,41.00
62.896,41.10
63.051,41.20
63.203,41.30
63.352,41.40
63.500,41.50
63.646,41.60
63.795,41.70
63.944,41.80
64.094,41.90
64.246,42.00
64.398,42.10
64.551,42.20
64.703,42.30
64.854,42.40
65.002,42.50
65.150,42.60
65.300,42.70
65.449,42.80
65.599,42.90
65.751,43.00
65.904,43.10
66.058,43.20
66.212,43.30
66.365,43.40
66.517,43.50
66.669,43.60
66.821,43.70
66.974,43.80
67.129,43.90
67.285,44.00
67.443,44.10
67.601,44.20
67.758,44.30
67.910,44.40
68.061,44.50
68.210,44.60
68.360,44.70
68.510,44.80
68.661,44.90
68.813,45.00
68.966,45.10
69.120,45.20
69.273,45.30
69.424,45.40
69.573,45.50
69.721,45.60
69.870,45.70
70.019,45.80
70.169,45.90
70.321,46.00
70.473,46.10
70.626,46.20
70.777,46.30
70.927,46.40
71.075,46.50
71.222,46.60
71.372,46.70
71.522,46.80
71.675,46.90
71.828,47.00
71.983,47.10
72.139,47.20
72.294,47.30
72.447,47.40
72.598,47.50
72.748,47.60
72.899,47.70
73.050,47.80
73.203,47.90
73.356,48.00
73.510,48.10
73.666,48.20
73.819,48.30
73.970,48.40
74.119,48.50
74.266,48.60
74.414,48.70
74.562,48.80
74.710,48.90
74.860,49.00
75.011,49.10
75.162,49.20
75.314,49.30
75.465,49.40
75.615,49.50
75.766,49.60
75.919,49.70
76.072,49.80
76.227,49.90
76.383,50.00
76.541,50.10
76.701,50.20
76.860,50.30
77.016,50.40
77.170,50.50
77.324,50.60
77.478,50.70
77.633,50.80
77.789,50.90
77.946,51.00
78.103,51.10
78.261,51.20
78.419,51.30
78.575,51.40
78.728,51.50
78.881,51.60
79.034,51.70
79.187,51.80
79.341,51.90
79.495,52.00
79.649,52.10
79.804,52.20
79.958,52.30
80.110,52.40
80.260,52.50
80.408,52.60
80.557,52.70
80.706,52.80
80.856,52.90
81.008,53.00
81.161,53.10
81.314,53.20
81.466,53.30
81.616,53.40
81.763,53.50
81.909,53.60
82.056,53.70
82.202,53.80
82.350,53.90
82.498,54.00
82.647,54.10
82.796,54.20
82.942,54.30
83.085,54.40
83.227,54.50
83.369,54.60
83.512,54.70
83.656,54.80
83.801,54.90
83.947,55.00
84.094,55.10
84.242,55.20
84.389,55.30
84.535,55.40
84.680,55.50
84.826,55.60
84.972,55.70
85.118,55.80
85.267,55.90
85.416,56.00
85.566,56.10
85.717,56.20
85.867,56.30
86.015,56.40
86.162,56.50
86.309,56.60
86.457,56.70
86.606,56.80
86.756,56.90
86.907,57.00
87.059,57.10
87.213,57.20
87.366,57.30
87.517,57.40
87.666,57.50
