START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.050,0.10
0.136,0.20
0.223,0.30
0.309,0.40
0.396,0.50
0.482,0.60
0.567,0.70
0.653,0.80
0.739,0.90
0.825,1.00
0.912,1.10
0.997,1.20
1.083,1.30
1.169,1.40
1.255,1.50
1.341,1.60
1.426,1.70
1.513,1.80
1.600,1.90
1.686,2.00
1.772,2.10
1.858,2.20
1.945,2.30
2.033,2.40
2.120,2.50
2.207,2.60
2.294,2.70
2.382,2.80
2.469,2.90
2.557,3.00
2.645,3.10
2.732,3.20
2.820,3.30
2.908,3.40
2.996,3.50
3.084,3.60
3.171,3.70
3.260,3.80
3.348,3.90
3.436,4.00
3.525,4.10
3.613,4.20
3.702,4.30
3.790,4.40
3.879,4.50
3.967,4.60
4.055,4.70
4.144,4.80
4.233,4.90
4.322,5.00
4.411,5.10
4.500,5.20
4.589,5.30
4.679,5.40
4.769,5.50
4.859,5.60
4.948,5.70
5.039,5.80
5.130,5.90
5.220,6.00
5.311,6.10
5.401,6.20
5.491,6.30
5.581,6.40
5.671,6.50
5.762,6.60
5.851,6.70
5.942,6.80
6.032,6.90
6.122,7.00
6.213,7.10
6.302,7.20
6.393,7.30
6.484,7.40
6.574,7.50
6.665,7.60
6.755,7.70
6.846,7.80
6.938,7.90
7.028,8.00
7.119,8.10
7.210,8.20
7.301,8.30
7.393,8.40
7.484,8.50
7.576,8.60
7.667,8.70
7.759,8.80
7.851,8.90
7.942,9.00
8.034,9.10
8.124,9.20
8.215,9.30
8.305,9.40
8.395,9.50
8.485,9.60
8.574,9.70
8.663,9.80
8.752,9.90
8.840,10.00
8.929,10.10
9.017,10.20
9.105,10.30
9.193,10.40
9.281,10.50
9.368,10.60
9.454,10.70
9.542,10.80
9.629,10.90
9.715,11.00
9.802,11.10
9.887,11.20
9.973,11.30
10.058,11.40
10.144,11.50
10.230,11.60
10.314,11.70
10.400,11.80
10.485,11.90
10.570,12.00
10.655,12.10
10.739,12.20
10.824,12.30
10.909,12.40
10.994,12.50
11.079,12.60
11.163,12.70
11.247,12.80
11.332,12.90
11.416,13.00
11.501,13.10
11.585,13.20
11.669,13.30
11.754,13.40
11.838,13.50
11.922,13.60
12.005,13.70
12.090,13.80
12.174,13.90
12.258,14.00
12.342,14.10
12.426,14.20
12.510,14.30
12.594,14.40
12.679,14.50
12.763,14.60
12.846,14.70
12.930,14.80
13.014,14.90
13.098,15.00
13.182,15.10
13.265,15.20
13.350,15.30
13.434,15.40
13.518,15.50
13.603,15.60
13.686,15.70
13.771,15.80
13.855,15.90
13.940,16.00
14.024,16.10
14.108,16.20
14.193,16.30
14.277,16.40
14.362,16.50
14.446,16.60
14.530,16.70
14.615,16.80
14.701,16.90
14.785,17.00
14.871,17.10
14.955,17.20
15.041,17.30
15.126,17.40
15.211,17.50
15.296,17.60
15.380,17.70
15.465,17.80
15.550,17.90
15.635,18.00
15.721,18.10
15.806,18.20
15.891,18.30
15.977,18.40
16.062,18.50
16.147,18.60
16.231,18.70
16.317,18.80
16.403,18.90
16.488,19.00
16.573,19.10
16.658,19.20
16.744,19.30
16.830,19.40
16.916,19.50
17.001,19.60
