START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
58.682,39.60
58.834,39.70
58.985,39.80
59.137,39.90
59.287,40.00
59.438,40.10
59.588,40.20
59.742,40.30
59.900,40.40
60.061,40.50
60.225,40.60
60.391,40.70
60.558,40.80
60.726,40.90
60.893,41.00
61.061,41.10
61.228,41.20
61.399,41.30
61.574,41.40
61.754,41.50
61.938,41.60
62.124,41.70
62.312,41.80
62.499,41.90
62.685,42.00
62.869,42.10
63.052,42.20
63.238,42.30
63.431,42.40
63.626,42.50
63.822,42.60
64.017,42.70
64.211,42.80
64.402,42.90
64.590,43.00
64.777,43.10
64.963,43.20
65.153,43.30
65.350,43.40
65.550,43.50
65.755,43.60
65.962,43.70
66.168,43.80
66.373,43.90
66.575,44.00
66.775,44.10
66.974,44.20
67.176,44.30
67.383,44.40
67.590,44.50
67.795,44.60
67.997,44.70
68.195,44.80
68.387,44.90
68.573,45.00
68.753,45.10
68.928,45.20
69.101,45.30
69.276,45.40
69.449,45.50
69.621,45.60
69.790,45.70
69.955,45.80
70.117,45.90
70.275,46.00
70.430,46.10
70.583,46.20
70.735,46.30
70.889,46.40
71.042,46.50
71.195,46.60
71.347,46.70
71.496,46.80
71.643,46.90
71.788,47.00
71.932,47.10
72.074,47.20
72.217,47.30
72.361,47.40
72.506,47.50
72.652,47.60
72.798,47.70
72.943,47.80
73.088,47.90
73.231,48.00
73.373,48.10
73.516,48.20
73.660,48.30
73.807,48.40
73.955,48.50
74.104,48.60
74.252,48.70
74.399,48.80
74.546,48.90
74.690,49.00
74.834,49.10
74.977,49.20
75.121,49.30
75.268,49.40
75.415,49.50
75.561,49.60
75.707,49.70
75.850,49.80
75.992,49.90
76.132,50.00
76.272,50.10
76.411,50.20
76.552,50.30
76.696,50.40
76.840,50.50
76.985,50.60
77.131,50.70
77.274,50.80
77.417,50.90
77.557,51.00
77.698,51.10
77.838,51.20
77.980,51.30
78.124,51.40
78.269,51.50
78.416,51.60
78.562,51.70
78.707,51.80
78.852,51.90
78.996,52.00
79.139,52.10
79.281,52.20
79.424,52.30
79.570,52.40
79.715,52.50
79.861,52.60
80.006,52.70
80.151,52.80
80.294,52.90
80.434,53.00
80.575,53.10
80.716,53.20
80.857,53.30
81.002,53.40
81.147,53.50
81.292,53.60
81.438,53.70
81.582,53.80
81.726,53.90
81.870,54.00
82.014,54.10
82.158,54.20
82.304,54.30
82.453,54.40
82.603,54.50
82.754,54.60
82.905,54.70
83.054,54.80
83.202,54.90
83.349,55.00
83.496,55.10
83.641,55.20
83.787,55.30
83.936,55.40
84.087,55.50
84.238,55.60
84.390,55.70
84.540,55.80
84.690,55.90
84.839,56.00
84.987,56.10
85.135,56.20
85.285,56.30
85.439,56.40
85.596,56.50
85.755,56.60
85.916,56.70
86.078,56.80
86.241,56.90
86.404,57.00
86.567,57.10
86.729,57.20
86.894,57.30
87.064,57.40
87.237,57.50
87.413,57.60
87.591,57.70
87.769,57.80
87.946,57.90
88.121,58.00
88.295,58.10
88.467,58.20
88.641,58.30
88.820,58.40
89.001,58.50
89.185,58.60
89.368,58.70
89.551,58.80
89.733,58.90
89.913,59.00
90.091,59.10
90.268,59.20
90.448,59.30
90.634,59.40
90.821,59.50
91.012,59.60
91.202,59.70
91.392,59.80
91.580,59.90
91.765,60.00
91.946,60.10
92.126,60.20
92.307,60.30
92.493,60.40
92.680,60.50
92.868,60.60
93.053,60.70
93.234,60.80
93.409,60.90
93.580,61.00
93.749,61.10
93.916,61.20
94.083,61.30
94.254,61.40
94.425,61.50
94.595,61.60
94.764,61.70
94.930,61.80
95.094,61.90
95.255,62.00
95.413,62.10
95.567,62.20
95.721,62.30
95.877,62.40
96.034,62.50
96.191,62.60
96.347,62.70
96.501,62.80
96.653,62.90
96.803,63.00
96.952,63.10
97.101,63.20
97.251,63.30
97.404,63.40
97.558,63.50
97.712,63.60
97.866,63.70
98.017,63.80
98.168,63.90
98.317,64.00
98.466,64.10
98.614,64.20
98.763,64.30
98.915,64.40
99.068,64.50
99.221,64.60
99.374,64.70
99.523,64.80
99.671,64.90
99.817,65.00
99.963,65.10
100.107,65.20
100.253,65.30
100.401,65.40
100.549,65.50
100.699,65.60
100.849,65.70
100.997,65.80
101.145,65.90
101.291,66.00
101.436,66.10
101.582,66.20
101.728,66.30
101.879,66.40
102.030,66.50
102.183,66.60
102.337,66.70
102.490,66.80
102.643,66.90
102.794,67.00
102.945,67.10
103.095,67.20
103.246,67.30
103.400,67.40
103.556,67.50
103.714,67.60
103.872,67.70
104.029,67.80
104.185,67.90
104.341,68.00
104.496,68.10
104.651,68.20
104.810,68.30
104.973,68.40
105.140,68.50
105.310,68.60
105.483,68.70
105.656,68.80
105.829,68.90
106.001,69.00
106.171,69.10
106.340,69.20
106.512,69.30
106.689,69.40
106.870,69.50
107.054,69.60
107.238,69.70
107.421,69.80
107.603,69.90
107.783,70.00
107.963,70.10
108.141,70.20
108.320,70.30
108.502,70.40
108.685,70.50
108.866,70.60
109.046,70.70
109.221,70.80
109.393,70.90
109.561,71.00
109.727,71.10
109.890,71.20
110.053,71.30
110.219,71.40
110.386,71.50
110.553,71.60
110.720,71.70
110.884,71.80
111.047,71.90
111.206,72.00
111.365,72.10
111.521,72.20
111.679,72.30
111.839,72.40
112.001,72.50
112.163,72.60
112.325,72.70
112.486,72.80
112.646,72.90
112.803,73.00
112.960,73.10
113.114,73.20
113.269,73.30
113.427,73.40
113.586,73.50
113.748,73.60
113.910,73.70
114.070,73.80
114.230,73.90
114.388,74.00
114.546,74.10
114.702,74.20
114.859,74.30
115.019,74.40
115.181,74.50
115.343,74.60
115.505,74.70
115.664,74.80
115.822,74.90
115.978,75.00
116.133,75.10
116.286,75.20
116.439,75.30
116.596,75.40
116.753,75.50
116.912,75.60
117.071,75.70
117.229,75.80
117.387,75.90
117.543,76.00
117.699,76.10
117.854,76.20
118.011,76.30
118.171,76.40
118.332,76.50
118.494,76.60
118.656,76.70
118.815,76.80
118.973,76.90
119.130,77.00
119.285,77.10
119.441,77.20
119.599,77.30
119.762,77.40
119.927,77.50
120.095,77.60
120.263,77.70
120.430,77.80
120.595,77.90
120.759,78.00
120.923,78.10
121.086,78.20
121.251,78.30
121.420,78.40
121.590,78.50
121.762,78.60
121.934,78.70
122.104,78.80
122.273,78.90
122.441,79.00
122.607,79.10
122.773,79.20
122.942,79.30
123.116,79.40
123.293,79.50
123.473,79.60
123.655,79.70
123.835,79.80
124.015,79.90
124.191,80.00
124.365,80.10
124.539,80.20
124.715,80.30
124.894,80.40
125.074,80.50
125.255,80.60
125.435,80.70
125.613,80.80
125.788,80.90
125.959,81.00
126.127,81.10
126.292,81.20
126.458,81.30
126.625,81.40
126.791,81.50
126.955,81.60
127.116,81.70
127.274,81.80
127.429,81.90
127.579,82.00
127.729,82.10
127.878,82.20
128.027,82.30
128.179,82.40
128.331,82.50
128.485,82.60
128.638,82.70
128.789,82.80
128.939,82.90
129.087,83.00
129.234,83.10
129.378,83.20
129.523,83.30
129.669,83.40
129.816,83.50
129.964,83.60
130.111,83.70
130.257,83.80
130.401,83.90
130.544,84.00
130.686,84.10
130.827,84.20
130.969,84.30
131.113,84.40
131.258,84.50
131.405,84.60
131.551,84.70
131.696,84.80
131.840,84.90
131.983,85.00
132.126,85.10
132.269,85.20
132.413,85.30
132.560,85.40
132.707,85.50
132.855,85.60
133.004,85.70
133.150,85.80
133.297,85.90
133.443,86.00
133.588,86.10
133.732,86.20
133.878,86.30
134.027,86.40
134.177,86.50
134.328,86.60
134.480,86.70
134.630,86.80
134.780,86.90
134.928,87.00
135.075,87.10
135.220,87.20
135.367,87.30
135.518,87.40
135.669,87.50
135.820,87.60
135.971,87.70
136.120,87.80
136.268,87.90
136.414,88.00
136.560,88.10
136.706,88.20
136.852,88.30
137.002,88.40
137.152,88.50
137.303,88.60
137.455,88.70
137.605,88.80
137.755,88.90
137.904,89.00
138.052,89.10
138.200,89.20
138.350,89.30
138.504,89.40
138.657,89.50
138.812,89.60
138.967,89.70
139.121,89.80
139.274,89.90
139.424,90.00
139.574,90.10
139.723,90.20
139.873,90.30
140.026,90.40
140.178,90.50
140.330,90.60
140.483,90.70
140.633,90.80
140.783,90.90
140.930,91.00
141.076,91.10
141.221,91.20
141.366,91.30
141.514,91.40
141.662,91.50
141.811,91.60
141.960,91.70
142.108,91.80
142.255,91.90
142.400,92.00
142.546,92.10
142.691,92.20
142.837,92.30
142.987,92.40
143.137,92.50
143.290,92.60
143.443,92.70
143.595,92.80
143.747,92.90
143.898,93.00
144.049,93.10
144.200,93.20
144.353,93.30
144.509,93.40
144.668,93.50
144.828,93.60
144.988,93.70
145.147,93.80
145.307,93.90
145.465,94.00
145.622,94.10
145.779,94.20
145.937,94.30
146.100,94.40
146.263,94.50
146.425,94.60
146.586,94.70
146.743,94.80
146.897,94.90
147.047,95.00
147.195,95.10
147.344,95.20
147.494,95.30
147.647,95.40
147.800,95.50
147.953,95.60
148.106,95.70
148.257,95.80
148.407,95.90
148.556,96.00
148.705,96.10
148.852,96.20
149.000,96.30
149.151,96.40
149.304,96.50
149.457,96.60
149.611,96.70
149.764,96.80
149.917,96.90
150.069,97.00
150.221,97.10
150.373,97.20
